id,asleep_D,asleep_L,bout_duration,bout_count,latency,latency_to_longest_bout,total_distance,velocity,morning_anticipation,evening_anticipation
2020-03-12_16-00-01_102bbd|01,0.35667314994906,0.251724616880411,579.097744360902,133,2260,16822,1078.06423462271,0.00820507066460696,48.6821410665124,43.205661824806
2020-03-12_16-00-01_102bbd|02,0.619305555555556,0.413259873142275,916.232876712329,146,3190,15528,1814.20755087038,0.00813436556010573,60.1033222189227,46.2825913463818
2020-03-12_16-00-01_102bbd|03,0.519814814814815,0.317607296634103,831.703703703704,135,1762,8298,1464.88787289345,0.00809867245075992,59.0851988256386,46.1630964248611
